Daten,comp,targ,bench,bint,rank
10.72,0.00442815102977317,0.004916652,0.0038601552,0.00457375923240175,0.00359237951624498
-0.98,0.00419369925592405,0.005956238,0.0033316424,0.00457375923240175,0.0035950773818258
-1.68,0.004530184259614,0.00822382,0.0028101439,0.00457375923240175,0.00373659142990766
-1.68,0.00257510067126823,0.01019749,0.0013821227,0.00457375923240175,0.00379040599468306
-1.78,0.00343293734932346,0.006619975,0.0025280131,0.00457375923240175,0.00398452910873197
-2.78,0.00359732709802103,0.004290145,0.0038274896,0.00457375923240175,0.00400086204945706
10.22,0.0038204870955457,0.003387525,0.0040586523,0.00457375923240175,0.00444921896122582
4.12,0.00464003068335908,0.006739829,0.0032849451,0.00457375923240175,0.00428787139417791
3.32,0.00529058616842278,0.005836338,0.0028188194,0.00457375923240175,0.00428145575526244
6.52,0.00754290182324216,0.006752176,0.0049405232,0.00457375923240175,0.00473650243444759
4.22,0.00564958837236487,0.00559921,0.0048501481,0.00457375923240175,0.00492533593334054
0.12,0.00503921044898408,0.007073877,0.0053230493,0.00457375923240175,0.00478830322777247
0.72,0.0036111512932931,0.004296181,0.0039411135,0.00457375923240175,0.00460718201623426
0.22,0.00536475668546498,0.007787177,0.0046374539,0.00457375923240175,0.00476333959214957
-4.68,0.0065265158272343,0.007937467,0.0051462841,0.00457375923240175,0.00510065064814892
0.32,0.00746875528399388,0.006490459,0.0059356788,0.00457375923240175,0.00647651929899855
3.72,0.00648715447437816,0.003403085,0.0041853955,0.00457375923240175,0.0057092452390689
6.82,0.00637348498985019,0.004490459,0.0037895586,0.00457375923240175,0.00508677478908927
7.32,0.00639030311602963,0.00616881,0.0024943676,0.00457375923240175,0.00465881719712184
4.72,0.00593770729793883,0.004069853,0.0041277457,0.00457375923240175,0.00549223040164377
3.62,0.00329288410323013,0.001313259,0.0043375236,0.00457375923240175,0.00522194554782167
3.32,0.00202592506163834,-0.003853386,0.0060063676,0.00457375923240175,0.00483428310599743
3.32,0.0013835774732825,-1.324626e-05,0.0051117784,0.00457375923240175,0.00408199610551874
3.42,0.00501269992093369,-0.0005696571,0.0055984324,0.00457375923240175,0.00469013406487313
7.92,0.00596821689240634,0.001807862,0.0041487707,0.00457375923240175,0.0047640127921396
6.32,0.00688679945338463,-0.0008080326,0.0064800552,0.00457375923240175,0.00556140276693016
6.82,0.00634642188274711,0.001550881,0.0064818865,0.00457375923240175,0.00575791215758538
-7.28,0.00560545698272634,0.005307644,0.0065417467,0.00457375923240175,0.00559613424338967
6.72,0.0055746841258477,0.00860389,0.004406565,0.00457375923240175,0.00432489431622356
-2.58,0.00482850742415235,0.007570343,0.0028710655,0.00457375923240175,0.00427663022195054
-0.58,0.00609188745846209,0.006097963,0.0040653081,0.00457375923240175,0.00449459303213905
-0.0800000000000001,0.00698223213363926,0.00411409,0.0050571391,0.00457375923240175,0.00473351270658433
3.42,0.00691191108371581,0.005424931,0.0053185901,0.00457375923240175,0.00474127508929157
3.52,0.00291034432652975,0.005982289,-0.0026206137,0.00457375923240175,0.00439296480982354
3.62,0.00386919677107756,0.005602608,0.0018166373,0.00457375923240175,0.00385711856201311
4.92,0.00316749191712584,0.004624851,0.0033571513,0.00457375923240175,0.00390611068422395
-0.68,0.0049244715131217,0.003781902,0.0093276229,0.00457375923240175,0.00362642297027508
4.52,0.00177151377979293,0.004946564,0.0028309025,0.00457375923240175,0.0034553048434735
10.62,0.00370122719863841,0.008179773,0.0027079807,0.00457375923240175,0.00374198191348662
3.42,0.00538741943117653,0.009795897,0.0036705368,0.00457375923240175,0.00407082207286335
9.42,0.00705788115362324,0.005077654,0.0059059984,0.00457375923240175,0.00491518533480102
-2.18,0.00475591179422411,-0.0002837758,0.0051027033,0.00457375923240175,0.00472078889927245
-5.18,0.00511681478703891,-0.001762625,0.0054986383,0.00457375923240175,0.00461386053157462
-2.58,0.00680401028825707,0.002873971,0.0047462011,0.00457375923240175,0.00484064785504692
3.62,0.00756121889508886,0.007418972,0.0056064384,0.00457375923240175,0.00525829111595147
-0.48,0.00680669890075427,0.009473114,0.0056491346,0.00457375923240175,0.00504904864605207
-1.58,0.00465651350241086,0.006643878,0.004453483,0.00457375923240175,0.00417161253248627
-5.38,0.00470491611400752,0.004521062,0.0034555848,0.00457375923240175,0.00392123720182042
-1.38,0.00453400284655135,0.003600475,0.0027574001,0.00457375923240175,0.00432215383608973
