Daten,comp,targ,bench,bint
2021.08,0.00811551022262984,0.01608889,0.0085150315,0.00540803929182309
2021.17,0.0089881212425226,0.01603259,0.0093858589,0.00562299619809298
2021.25,0.0112868240795172,0.01526498,0.0122830466,0.0063381442341736
2021.33,0.0143563171988435,0.01419803,0.0152709036,0.00707567327505685
2021.42,0.0151844951870864,0.01194505,0.0158749462,0.00722477644814399
2021.5,0.0134215557857037,0.01341569,0.0140680062,0.00677874749657985
2021.58,0.0114303520803305,0.01631425,0.0123308326,0.0063499398330753
2021.67,0.0105484674586257,0.0197552,0.0097794558,0.00572015250247824
2021.75,0.0114957042919465,0.01837621,0.0102877262,0.00584561505996387
2021.83,0.0124161019616536,0.01774729,0.0123908038,0.00636474325292325
2021.92,0.0148250828672381,0.02021012,0.0164239401,0.0073602912818585
2022,0.0163061854545481,0.0183461,0.0163726131,0.00734762161490944
2022.08,0.0162705383865798,0.01808986,0.0153440682,0.00709373338210501
2022.17,0.0128110625689117,0.01870922,0.0130811606,0.00653515240857267
2022.25,0.00901708639345416,0.01582132,0.0117244705,0.00620026410962504
2022.33,0.00908497157558301,0.0126361,0.0108185471,0.00597664403131617
2022.42,0.0130657396306444,0.006396241,0.0129299656,0.00649783110995084
2022.5,0.0132977290194416,0.01053471,0.0118004254,0.00621901298031978
2022.58,0.0145525922034915,0.01041863,0.0139742676,0.00675560885917125
2022.67,0.0127551495355456,0.008741065,0.0124938798,0.00639018675420798
2022.75,0.0124954332746312,0.009466371,0.0136254994,0.00666951816740234
2022.83,0.00915375218542123,0.009981306,0.0108935107,0.00599514820738924
2022.92,0.00776887029974092,0.009712592,0.0101204611,0.00580432698333361
2023,0.00930855797165623,0.008091961,0.0114113597,0.00612297516707719
2023.08,0.0100526557940473,0.006189228,0.0120888172,0.00629020023180223
2023.17,0.0092917119921038,0.007377481,0.0113441104,0.00610637520538924
2023.25,0.00933270754369489,0.005234642,0.0101169103,0.0058034504962332
2023.33,0.00936167021556461,0.006866989,0.0093249578,0.00560796323973127
2023.42,0.00929845277194786,0.007904679,0.0090106843,0.00553038729381752
2023.5,0.0053877905178919,0.006824325,0.0069157225,0.00501326242236583
2023.58,0.00324711034912524,0.003720084,0.0049973543,0.0045397282945254
2023.67,0.00288550915121933,0.001771195,0.0056128005,0.00469164635673562
2023.75,0.00411761990949568,0.005715651,0.0055548119,0.00467733232613103
2023.83,0.00416168109266717,0.008886876,0.0054405054,0.0046491166640991
2023.92,0.00424447298287769,0.01077285,0.0040653116,0.00430966087209079
2024,0.00766439728874354,0.009163493,0.0077204659,0.00521190701210327
2024.08,0.00808822731530332,0.005959476,0.0092179305,0.00558154439106572
2024.17,0.00892435100234922,0.003718107,0.0107941723,0.00597062730331824
2024.25,0.00627071444306788,0.002734635,0.0083547982,0.0053684869598117
2024.33,0.00585758918203352,0.003968383,0.0067617651,0.00497525924699336
2024.42,0.0061450408820608,0.004547334,0.0055898021,0.0046859693822707
2024.5,0.00462396433355811,,0.0047322744,0.00447429540252139
2024.58,0.00382018080315687,,0.0054892465,0.00466114802193671
