"","Usage","Month","value"
"1","Motor_vehicles_and_parts","X2007",424866
"2","Furnishings_and_durable_household_equipment","X2007",233282
"3","Recreational_goods_and_vehicles","X2007",192121
"4","Other_durable_goods","X2007",147028
"5","Food_and_beverages_purchased_for_off-premises_consumption","X2007",874589
"6","Clothing_and_footwear","X2007",336707
"7","Gasoline_and_other_energy_goods","X2007",316329
"8","Other_nondurable_goods","X2007",901574
"9","Housing_and_utilities","X2007",2171975
"10","Health_care","X2007",1734822
"11","Transportation_services","X2007",375108
"12","Recreation_services","X2007",451699
"13","Food_services_and_accommodations","X2007",768269
"14","Financial_services_and_insurance","X2007",999821
"15","Motor_vehicles_and_parts","X2007.1",426862
"16","Furnishings_and_durable_household_equipment","X2007.1",230108
"17","Recreational_goods_and_vehicles","X2007.1",188570
"18","Other_durable_goods","X2007.1",146981
"19","Food_and_beverages_purchased_for_off-premises_consumption","X2007.1",871316
"20","Clothing_and_footwear","X2007.1",330058
"21","Gasoline_and_other_energy_goods","X2007.1",320713
"22","Other_nondurable_goods","X2007.1",899817
"23","Housing_and_utilities","X2007.1",2188784
"24","Health_care","X2007.1",1735446
"25","Transportation_services","X2007.1",375378
"26","Recreation_services","X2007.1",451517
"27","Food_services_and_accommodations","X2007.1",760271
"28","Financial_services_and_insurance","X2007.1",1004537
"29","Motor_vehicles_and_parts","X2007.2",421031
"30","Furnishings_and_durable_household_equipment","X2007.2",231825
"31","Recreational_goods_and_vehicles","X2007.2",192203
"32","Other_durable_goods","X2007.2",150214
"33","Food_and_beverages_purchased_for_off-premises_consumption","X2007.2",869393
"34","Clothing_and_footwear","X2007.2",338624
"35","Gasoline_and_other_energy_goods","X2007.2",313266
"36","Other_nondurable_goods","X2007.2",908225
"37","Housing_and_utilities","X2007.2",2166548
"38","Health_care","X2007.2",1739892
"39","Transportation_services","X2007.2",376569
"40","Recreation_services","X2007.2",456523
"41","Food_services_and_accommodations","X2007.2",770520
"42","Financial_services_and_insurance","X2007.2",1004883
"43","Motor_vehicles_and_parts","X2007.3",424822
"44","Furnishings_and_durable_household_equipment","X2007.3",230411
"45","Recreational_goods_and_vehicles","X2007.3",193529
"46","Other_durable_goods","X2007.3",151547
"47","Food_and_beverages_purchased_for_off-premises_consumption","X2007.3",866200
"48","Clothing_and_footwear","X2007.3",331177
"49","Gasoline_and_other_energy_goods","X2007.3",317654
"50","Other_nondurable_goods","X2007.3",903545
"51","Housing_and_utilities","X2007.3",2198119
"52","Health_care","X2007.3",1742183
"53","Transportation_services","X2007.3",373774
"54","Recreation_services","X2007.3",452763
"55","Food_services_and_accommodations","X2007.3",766890
"56","Financial_services_and_insurance","X2007.3",1001031
"57","Motor_vehicles_and_parts","X2007.4",433749
"58","Furnishings_and_durable_household_equipment","X2007.4",231614
"59","Recreational_goods_and_vehicles","X2007.4",197258
"60","Other_durable_goods","X2007.4",152711
"61","Food_and_beverages_purchased_for_off-premises_consumption","X2007.4",867481
"62","Clothing_and_footwear","X2007.4",336870
"63","Gasoline_and_other_energy_goods","X2007.4",310837
"64","Other_nondurable_goods","X2007.4",906636
"65","Housing_and_utilities","X2007.4",2174225
"66","Health_care","X2007.4",1745710
"67","Transportation_services","X2007.4",376868
"68","Recreation_services","X2007.4",457161
"69","Food_services_and_accommodations","X2007.4",769388
"70","Financial_services_and_insurance","X2007.4",1006609
"71","Motor_vehicles_and_parts","X2007.5",415800
"72","Furnishings_and_durable_household_equipment","X2007.5",228983
"73","Recreational_goods_and_vehicles","X2007.5",197638
"74","Other_durable_goods","X2007.5",152663
"75","Food_and_beverages_purchased_for_off-premises_consumption","X2007.5",868297
"76","Clothing_and_footwear","X2007.5",336694
"77","Gasoline_and_other_energy_goods","X2007.5",310075
"78","Other_nondurable_goods","X2007.5",911797
"79","Housing_and_utilities","X2007.5",2184931
"80","Health_care","X2007.5",1749833
"81","Transportation_services","X2007.5",373926
"82","Recreation_services","X2007.5",455775
"83","Food_services_and_accommodations","X2007.5",771037
"84","Financial_services_and_insurance","X2007.5",1014377
"85","Motor_vehicles_and_parts","X2007.6",412101
"86","Furnishings_and_durable_household_equipment","X2007.6",230900
"87","Recreational_goods_and_vehicles","X2007.6",201208
"88","Other_durable_goods","X2007.6",153929
"89","Food_and_beverages_purchased_for_off-premises_consumption","X2007.6",871979
"90","Clothing_and_footwear","X2007.6",338108
"91","Gasoline_and_other_energy_goods","X2007.6",316679
"92","Other_nondurable_goods","X2007.6",912056
"93","Housing_and_utilities","X2007.6",2186706
"94","Health_care","X2007.6",1755998
"95","Transportation_services","X2007.6",372600
"96","Recreation_services","X2007.6",460784
"97","Food_services_and_accommodations","X2007.6",767741
"98","Financial_services_and_insurance","X2007.6",1020118
"99","Motor_vehicles_and_parts","X2007.7",421886
"100","Furnishings_and_durable_household_equipment","X2007.7",231575
"101","Recreational_goods_and_vehicles","X2007.7",204987
"102","Other_durable_goods","X2007.7",154555
"103","Food_and_beverages_purchased_for_off-premises_consumption","X2007.7",865182
"104","Clothing_and_footwear","X2007.7",337817
"105","Gasoline_and_other_energy_goods","X2007.7",308991
"106","Other_nondurable_goods","X2007.7",911392
"107","Housing_and_utilities","X2007.7",2212756
"108","Health_care","X2007.7",1763325
"109","Transportation_services","X2007.7",373885
"110","Recreation_services","X2007.7",460859
"111","Food_services_and_accommodations","X2007.7",771322
"112","Financial_services_and_insurance","X2007.7",1030101
"113","Motor_vehicles_and_parts","X2007.8",434124
"114","Furnishings_and_durable_household_equipment","X2007.8",231132
"115","Recreational_goods_and_vehicles","X2007.8",204513
"116","Other_durable_goods","X2007.8",155962
"117","Food_and_beverages_purchased_for_off-premises_consumption","X2007.8",866981
"118","Clothing_and_footwear","X2007.8",336738
"119","Gasoline_and_other_energy_goods","X2007.8",315933
"120","Other_nondurable_goods","X2007.8",907292
