,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2008,2008,2008,2008,2008,2008,2008,2008,2008,2008,2008,2008,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023
,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
New motor vehicles (55),262245,265533,255174,258550,259561,246872,241023,247687,258630,265181,250171,243972,238530,237265,228650,220852,220600,211744,186863,217400,203862,168672,161737,167647,172110,161733,166849,155819,174272,179408,200033,264845,163497,174590,181730,184835,169622,162116,203522,195060,194056,192688,197094,199915,197405,212444,209764,217578,219545,214805,219682,215873,209199,199930,206142,205846,223548,233636,227192,232842,239638,247631,238082,246075,238696,237895,237781,236468,246821,245960,257084,250701,256211,254378,249617,255698,256693,253238,256195,250527,253276,249432,254529,254485,250977,254243,274774,264604,269540,276367,270974,271889,265455,264184,270211,270300,269152,270950,285741,282448,281188,280221,280892,285604,278159,270607,277353,266046,266819,268679,259244,267801,268958,272076,281209,275068,283022,282936,272861,281601,274419,281091,267711,268494,269343,274181,281225,272669,288383,299761,294714,296774,280559,282191,282094,281619,289570,285649,287407,293008,288608,287572,297999,297193,262472,268010,283538,274399,287281,287342,289626,290868,302140,282263,298464,306844,281882,282408,214198,200087,279470,280500,306506,314787,335160,328980,325828,345057,340122,336211,391548,407698,373846,342025,320756,286970,276004,293094,301623,301955,344556,330160,323828,332166,308904,315999,310884,313562,315950,326682,311364,299371,339890,336273,333148,340150,333779,332720,331423,321868,327914,315771,320570,325587
Net purchases of used motor vehicles (56),98679,97552,100625,101432,107954,103366,105205,107537,108781,108018,106551,104986,106126,101097,103842,105011,104003,107264,102258,102217,102379,101608,95263,97192,107249,106109,104378,106212,106118,106734,104354,107526,103130,100835,99605,98445,95473,97931,98577,97893,100187,101254,102327,102899,103514,107385,103734,99891,97779,97112,96095,90452,89733,87632,88717,84267,85589,81837,85440,86992,84977,87885,86952,87805,86425,86613,86651,92259,92711,89319,94711,95535,97179,99814,98075,96924,97576,97787,97100,96628,93668,95270,97545,92245,90034,99324,102349,102808,105274,107208,108288,109812,114649,117208,117526,122711,122850,125835,125780,131290,130760,128249,130170,129322,130214,130395,136508,135573,138166,149287,141278,141009,134928,141727,145007,148480,144381,152355,151451,165599,162185,156299,156027,156941,161125,167547,168404,164737,176870,172344,174212,176019,177273,179106,179475,173698,181610,178167,182972,179030,178885,173693,176774,177577,173328,168814,177089,173820,172798,170053,168083,165525,165154,164760,172218,167037,160213,164207,124945,95146,164070,189464,188412,176728,159052,155426,158362,157799,174963,168882,222842,211222,189818,173961,165346,175368,182392,185544,177698,171269,159293,148943,159645,164299,161566,159852,158787,161916,158869,158310,160291,158865,172136,172553,175235,168771,163748,156200,156661,162157,160762,161178,154271,155210
Motor vehicle parts and accessories (58),65832,65923,66776,66325,66969,66470,66350,67114,67362,67513,66272,65091,64922,64304,63991,63978,64225,63532,62576,61653,61028,59287,58819,58550,58694,57903,56639,56780,56954,57210,57423,58348,55736,56945,56254,56640,56789,57053,59123,60131,59815,59814,59905,60761,61049,61498,61859,62160,61300,61287,62312,61647,61035,61915,61442,62274,63100,63106,63015,62662,63541,63260,62525,63178,62954,62800,63068,62530,63527,63297,63006,63337,64346,65460,64550,65152,66214,66650,67140,67805,67512,68780,69490,69780,67781,69195,70157,70435,70051,69753,69729,70622,70029,70548,73446,70590,71686,71706,73683,74241,74773,75774,76271,75921,75857,76368,76897,76635,77095,77684,77037,76583,77621,78430,78312,78956,79779,80035,79777,84360,81687,80796,80889,81529,81604,81730,82321,81663,83837,83435,85057,86938,84700,84577,83939,84246,84453,83740,83982,83314,83771,83594,84046,82689,81505,83633,84922,84061,84252,84589,85562,86253,84352,84989,85046,83723,82579,82523,71133,67809,84160,90262,89666,90293,90008,88858,88478,89406,92241,90664,102898,102410,98745,98323,96589,95369,94373,95034,94686,94228,95791,94154,94631,95284,93146,93290,92364,93428,93331,93019,91840,92189,94256,95105,92012,94385,95508,97154,98306,97773,99401,100182,98708,99944
Furniture and furnishings (parts of 31 and 32),136088,134662,135856,137032,136669,135257,137279,137112,137007,137346,137402,136796,135254,131236,130542,132018,131861,129758,128079,125512,120163,119311,117177,117009,116222,115911,111664,111494,112244,112383,112408,113506,113391,113450,114415,114438,115256,117159,119715,120373,119895,120183,120373,121758,122765,122287,123513,123718,122557,123910,126881,126132,124560,124437,125270,125566,127309,127141,127518,128847,130724,131560,130873,129538,130364,129642,130325,130033,130491,129103,131994,135771,135118,133964,135348,135159,134774,136676,137185,137788,138712,139465,140971,138136,136567,141416,144488,145726,145801,146569,147316,150047,150733,151097,152357,153698,154427,153549,156527,155649,159007,158267,160520,163446,164115,163875,165230,167223,165293,167897,167284,167061,168982,172431,171733,172672,173726,172109,173261,173404,174323,175241,176268,177310,177811,178591,182373,184260,184750,188228,192739,195458,196008,195724,196430,195610,196684,196702,198019,197903,197362,196507,198531,195078,195209,192904,194689,198579,201515,202949,203852,205289,207339,206739,207691,209514,212200,210601,187350,145016,194044,229281,235338,236898,238941,239953,236583,240395,258001,245736,266355,264082,252306,252160,247946,248550,245781,248572,247266,239224,239043,238815,238409,239051,239906,237423,235049,235744,234078,239580,236355,235360,248394,240973,234626,234959,236599,240169,241444,239633,241641,236302,243251,244886
Household appliances (part of 33),38666,37711,37776,36653,37833,37242,37171,37366,37222,36978,37357,36703,37350,37646,37682,37783,37566,37395,37115,36082,35742,34906,34493,33852,34767,33640,32984,32994,32965,32864,33021,33859,33877,34204,34083,34083,34587,34780,35659,36895,36774,36475,36199,35840,35984,36445,37341,37341,37587,37892,38411,38210,38065,38359,38293,37716,38450,38199,38928,38782,38575,38155,38609,37727,37944,38024,37805,38276,38927,38189,38794,38855,39656,40169,40380,40850,41608,41525,42283,42543,42882,42004,42468,43120,43086,43160,43930,45498,46044,46873,46234,47494,46962,47057,48056,48098,49177,48244,49796,50151,51133,50513,51657,51240,51238,51276,51749,53155,53966,54538,54630,54400,54345,55577,56119,56650,56702,56892,57601,57761,58695,58658,58769,59983,59000,60009,60055,59991,61714,60884,62786,62851,61987,63947,62863,60875,61262,60983,59616,59465,59028,58858,58469,56949,57614,57541,58446,58682,59390,59550,61650,61175,60235,61469,61305,63007,62918,61652,59533,54954,63400,67285,66528,64257,65398,64037,61196,62630,68206,64499,72759,72547,68537,69014,66099,65327,66119,67439,65933,65228,66791,66388,67169,67547,67489,67469,68144,69419,69731,69817,67710,66844,71368,70586,69603,71197,71912,72405,72981,73258,73777,75266,75763,75071
Glassware tableware and household utensils (34),37684,37107,37483,36536,36584,36292,36272,36854,36835,36276,36950,36722,35409,34559,34191,34674,34590,34714,34439,33808,32253,32089,32430,31642,31073,30405,29903,30507,30736,30072,30459,30511,29755,29923,29915,30249,30181,30463,30629,30077,29843,30156,30262,30431,29712,29489,30797,30572,30060,30057,30513,30398,29647,29825,29286,29375,29444,29617,30180,30089,29789,29655,30176,29324,29724,29403,29295,29252,29575,29315,29289,29788,29589,29597,29612,29514,29701,30024,30744,31062,30915,31017,31000,31454,30249,31043,31010,32223,32620,32257,32209,32634,32178,32295,33233,34112,33436,33310,33823,33870,33993,34224,34462,33976,34046,34164,34904,35510,34842,35392,35149,35211,35198,35897,35757,35740,36277,35875,36029,37358,36103,35863,36351,36171,36609,37668,37050,37313,38390,37961,39112,41076,40934,40385,40252,39233,39322,41083,41597,42032,42115,41568,43598,42345,42747,42967,43965,43983,43569,42613,43461,44107,43986,44771,45720,45911,44988,46099,45916,42252,47740,50590,51883,51230,51795,53119,52487,53186,55185,52245,55698,55892,54487,55489,54895,56931,56224,57923,57910,56781,57447,56207,55303,55986,55735,55705,55584,56206,56279,57483,58515,57521,58749,57716,57517,59647,60282,59822,60030,60083,60186,61132,62794,62744
Tools and equipment for house and garden (35),20227,20017,20081,19424,19818,19472,19395,19480,19281,19060,19189,19133,19543,19481,19398,19651,20025,20626,20445,20203,20029,19734,19094,18718,18899,18765,18618,18395,18588,18267,18199,18637,18866,18498,18558,18879,18913,19031,19954,20606,19942,19838,19938,19981,20188,20463,20849,21079,20752,20467,20819,21179,21601,21781,21973,21968,21845,22258,22227,22425,22871,22660,23527,23122,23123,22793,22714,22960,23282,23507,23754,23760,24227,24566,24842,25076,25600,25562,26028,26208,26335,26349,26585,26878,26892,26841,27342,28355,28987,29352,29213,29705,29644,29557,29912,29624,30171,29389,30709,30872,31016,31079,32165,32441,32508,32563,33427,34416,34436,34676,35099,34685,34608,35236,35336,35522,35618,36192,36683,37063,37649,38025,37970,38434,37954,38400,38750,39164,40658,40216,41012,41569,40543,40938,40494,40544,41564,41602,41526,41286,41276,41792,41582,40136,41712,40239,41039,41336,41383,41254,41809,42278,42059,42234,42593,42911,43566,43542,43754,44253,50346,50731,49897,50331,50407,49330,49698,50000,52397,50038,55452,55535,52772,52420,51025,50485,50983,51344,52213,51998,52476,51984,52225,51756,51114,51179,51361,50872,50170,49774,48425,48114,48709,48078,46664,47041,47740,47558,47888,47678,47297,47631,47162,47501
Video audio photographic and information processing equipment and media (75 76 and part of 93),79283,79758,81106,82262,83110,83872,86220,87807,87839,88507,91506,90623,89212,89222,90249,92811,95055,94420,95064,93714,92985,91647,92004,90910,94808,95298,91757,91381,91746,92984,93882,94801,97307,97253,99489,100172,101481,103839,102819,104083,105372,108347,108183,108502,110225,110182,110307,113496,115302,115588,117642,118644,119661,121218,121925,123429,122880,128676,126860,125553,126762,129433,131273,131312,132907,133775,135983,136848,138610,138420,141528,143384,144703,145422,144921,146017,146907,148011,148879,150026,149834,151069,151765,153418,151655,155239,157442,157696,158334,159476,160851,161520,164434,164990,167054,168569,168160,166796,163835,165779,163989,166533,167258,167884,169018,169500,170134,172977,173887,176777,178534,178294,184543,186483,188166,191661,190825,193021,194778,200370,198270,199758,206676,209875,209502,209270,208626,212675,216179,213941,225266,231469,237950,244284,246238,245681,246908,248353,248924,251145,250712,252595,260576,243600,262291,264952,268871,276591,285629,289685,295476,296538,299776,301339,305830,307551,313031,311636,305812,296173,325053,353063,364010,373420,384111,392634,390533,385498,403192,389266,428201,427503,416343,436396,415191,425195,427748,436668,434433,430448,442743,436151,447495,460066,451052,442033,454103,454869,452091,456545,452112,462194,486900,482374,481810,494301,497172,505809,523120,526704,524328,531767,537992,555722
