"","Item","aggregate","Inflation","year","m","mnum","timep"
"1","Gasoline and other energy goods","Energy","No Value Obtainable",1959,"JAN",0,1959
"2","Gasoline and other energy goods","Energy","No Value Obtainable",1959,"FEB",0.08,1959.08
"3","Gasoline and other energy goods","Energy","No Value Obtainable",1959,"MAR",0.17,1959.17
"4","Gasoline and other energy goods","Energy","1.02614112120903",1959,"APR",0.25,1959.25
"5","Gasoline and other energy goods","Energy","1.00070091118454",1959,"MAY",0.33,1959.33
"6","Gasoline and other energy goods","Energy","0.997094770587057",1959,"JUN",0.42,1959.42
"7","Gasoline and other energy goods","Energy","0.985570703552592",1959,"JUL",0.5,1959.5
"8","Gasoline and other energy goods","Energy","1.00720432259356",1959,"AUG",0.58,1959.58
"9","Gasoline and other energy goods","Energy","1.00502361097157",1959,"SEP",0.67,1959.67
"10","Gasoline and other energy goods","Energy","1.03018982229402",1959,"OCT",0.75,1959.75
"11","Gasoline and other energy goods","Energy","1.01519968209815",1959,"NOV",0.83,1959.83
"12","Gasoline and other energy goods","Energy","1.02179346196141",1959,"DEC",0.92,1959.92
"13","Gasoline and other energy goods","Energy","0.994413407821229",1960,"JAN",0,1960
"14","Gasoline and other energy goods","Energy","0.989920735884137",1960,"FEB",0.08,1960.08
"15","Gasoline and other energy goods","Energy","0.980628118579395",1960,"MAR",0.17,1960.17
"16","Gasoline and other energy goods","Energy","0.994874827518234",1960,"APR",0.25,1960.25
"17","Gasoline and other energy goods","Energy","0.994563068406485",1960,"MAY",0.33,1960.33
"18","Gasoline and other energy goods","Energy","1.01067544647311",1960,"JUN",0.42,1960.42
"19","Gasoline and other energy goods","Energy","1.01456310679612",1960,"JUL",0.5,1960.5
"20","Gasoline and other energy goods","Energy","1.0289235662459",1960,"AUG",0.58,1960.58
"21","Gasoline and other energy goods","Energy","1.02033563672261",1960,"SEP",0.67,1960.67
"22","Gasoline and other energy goods","Energy","1.00185528756957",1960,"OCT",0.75,1960.75
"23","Gasoline and other energy goods","Energy","1.00589258114374",1960,"NOV",0.83,1960.83
"24","Gasoline and other energy goods","Energy","1.00009674922601",1960,"DEC",0.92,1960.92
"25","Gasoline and other energy goods","Energy","1.01169590643275",1961,"JAN",0,1961
"26","Gasoline and other energy goods","Energy","0.995486411216748",1961,"FEB",0.08,1961.08
"27","Gasoline and other energy goods","Energy","0.9905194930831",1961,"MAR",0.17,1961.17
"28","Gasoline and other energy goods","Energy","0.962138728323699",1961,"APR",0.25,1961.25
"29","Gasoline and other energy goods","Energy","0.971445109010226",1961,"MAY",0.33,1961.33
"30","Gasoline and other energy goods","Energy","0.986619787088583",1961,"JUN",0.42,1961.42
"31","Gasoline and other energy goods","Energy","1.02242915790528",1961,"JUL",0.5,1961.5
"32","Gasoline and other energy goods","Energy","1.02383316782522",1961,"AUG",0.58,1961.58
"33","Gasoline and other energy goods","Energy","1.02227281726391",1961,"SEP",0.67,1961.67
"34","Gasoline and other energy goods","Energy","1.00195867202037",1961,"OCT",0.75,1961.75
"35","Gasoline and other energy goods","Energy","0.998545101842871",1961,"NOV",0.83,1961.83
"36","Gasoline and other energy goods","Energy","0.981504793260385",1961,"DEC",0.92,1961.92
"37","Gasoline and other energy goods","Energy","0.993842244159906",1962,"JAN",0,1962
"38","Gasoline and other energy goods","Energy","1.00019426906265",1962,"FEB",0.08,1962.08
"39","Gasoline and other energy goods","Energy","0.995659037095501",1962,"MAR",0.17,1962.17
"40","Gasoline and other energy goods","Energy","1.01317859952793",1962,"APR",0.25,1962.25
