Line,,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2008,2008,2008,2008,2008,2008,2008,2008,2008,2008,2008,2008,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023
Line,,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1,            Personal consumption expenditures,11181011,11178224,11190733,11201512,11218013,11218483,11252646,11300129,11309630,11318558,11342216,11335073,11333195,11293922,11322117,11340527,11361583,11340676,11285993,11284712,11209703,11192483,11158164,11125756,11176305,11130536,11084550,11068004,11078092,11081148,11118080,11218045,11114566,11127130,11109393,11177314,11156814,11198587,11252084,11275119,11303150,11330595,11361677,11389167,11399944,11428949,11457995,11473159,11485986,11482805,11522570,11508912,11495647,11522290,11542331,11535293,11554302,11575139,11555677,11560852,11605541,11675804,11660547,11671350,11672028,11659879,11684376,11686651,11703216,11702345,11753400,11758277,11810554,11808639,11823785,11826391,11860129,11857747,11872342,11890328,11926106,11964642,12013748,12024692,11984950,12039400,12108258,12128113,12154473,12197112,12223576,12306522,12310160,12389106,12420593,12455087,12484726,12514133,12551848,12574797,12612729,12621633,12668446,12699695,12707228,12715920,12737026,12777287,12798711,12884040,12836102,12870150,12891217,12948552,12972225,12986082,13020884,13014898,13036803,13128482,13136309,13143371,13201744,13206064,13214465,13256700,13290089,13291675,13364384,13377008,13450341,13555357,13541333,13547251,13586534,13598657,13640539,13653705,13682745,13711487,13687137,13727109,13800281,13682327,13721695,13728472,13824825,13825912,13877100,13924102,13989862,14043558,14066246,14067246,14142836,14165741,14217379,14191119,13249343,11786841,12755247,13473548,13682124,13783893,13973005,14013350,13977935,14032878,14221420,14078819,14685540,14791627,14748864,14886752,14851558,14943514,14977862,15079162,15113730,15067939,15092994,15101923,15175153,15234111,15207678,15217791,15210521,15297414,15324772,15350288,15305475,15316176,15524840,15521411,15484353,15536728,15546136,15562713,15631604,15634732,15673749,15706123,15773980,15863998
2,Goods,3402982,3387832,3401051,3397323,3417080,3401321,3419872,3421787,3438335,3437116,3438188,3424972,3398542,3358465,3374041,3372583,3382583,3360680,3320271,3330328,3253234,3221324,3200748,3179863,3227538,3209381,3167438,3165518,3191019,3186064,3215679,3292990,3200288,3212645,3214156,3230177,3218531,3231200,3279892,3289410,3278812,3294043,3297062,3313033,3326351,3350409,3362379,3361758,3375601,3367021,3382170,3375481,3347459,3364520,3360025,3354408,3376630,3390103,3384442,3389491,3414366,3447376,3431101,3431470,3434802,3424746,3433256,3449702,3453353,3444891,3477090,3487848,3540246,3534498,3525289,3524839,3551855,3546243,3567587,3561496,3580493,3591534,3613309,3610630,3586344,3640456,3669879,3689133,3696149,3716111,3726697,3754766,3745494,3774262,3799319,3814063,3828118,3835908,3870913,3874200,3891983,3892181,3920145,3934359,3936052,3922302,3954148,3969241,3968019,4013880,3990342,3999128,4017023,4060211,4062945,4067312,4075099,4078463,4072334,4132226,4120097,4133322,4140219,4163754,4162038,4199368,4204388,4209057,4267089,4265381,4312635,4369224,4351858,4360215,4353973,4343187,4390814,4363067,4381709,4393314,4381824,4394409,4465859,4364182,4401678,4401105,4458645,4462735,4501968,4525618,4552734,4567263,4563075,4549030,4583979,4595034,4574311,4580158,4493398,3956003,4545029,4826695,4912001,4899640,4981573,4964908,4945892,4995956,5118581,4986598,5427276,5431466,5300890,5332394,5201947,5231476,5230760,5293638,5302499,5246105,5289146,5233363,5252812,5276706,5223918,5214321,5187710,5214614,5223213,5241234,5189834,5168949,5323480,5310431,5246457,5291947,5287252,5287456,5325182,5324313,5352894,5347018,5367891,5420531
3,    Durable goods,972678,965876,971193,975805,990339,974139,979340,993556,1003362,1008799,1000780,988939,978565,963360,959660,959713,965952,955255,929235,943421,911089,872347,854855,851646,876253,861740,845378,840284,858741,865602,882386,945175,861621,865791,877209,882757,870460,872749,914661,912969,911718,916954,924015,928825,931898,953737,952557,956399,960106,957875,969757,963822,954385,949125,957626,958322,976839,988150,983435,990527,1003124,1018059,1013359,1015408,1012457,1012389,1018208,1023541,1037953,1029241,1054843,1065457,1077367,1079281,1071972,1077258,1083251,1083878,1090079,1091332,1092571,1097072,1108504,1101972,1089636,1122213,1151082,1150586,1163074,1174824,1174331,1185514,1189126,1194013,1208469,1215064,1219912,1220627,1246151,1250655,1255031,1255350,1265524,1275828,1268854,1264999,1283090,1286731,1284235,1308405,1293217,1294328,1299523,1324965,1336542,1337595,1345119,1353502,1345518,1383288,1369690,1375391,1370042,1382546,1383295,1401687,1415718,1410058,1449048,1454528,1478825,1500100,1488160,1505143,1497463,1491995,1515354,1509336,1513646,1522086,1513573,1511438,1546205,1499177,1490037,1493864,1532346,1528790,1558874,1560067,1577653,1583495,1595994,1574340,1605359,1616068,1595229,1594236,1385416,1219409,1586751,1750177,1798742,1803727,1821549,1821464,1814583,1848641,1911568,1846807,2109769,2103799,1997730,1971703,1890718,1880951,1883206,1932539,1937433,1902591,1943576,1906708,1923578,1948024,1895418,1899048,1899849,1912639,1902787,1926480,1885965,1873789,1994915,1972075,1948432,1970026,1970812,1969843,1988169,1984295,1998955,1984259,1999726,2029635
4,        Motor vehicles and parts,424866,426862,421031,424822,433749,415800,412101,421886,434124,439732,422432,413594,409444,402058,396446,390158,389030,383284,352659,381518,367849,330985,317015,324488,339509,327331,329299,320362,338713,344628,362748,430874,323919,333650,338699,340872,323016,318679,361388,353460,354672,354512,360011,364193,362715,381873,375679,379324,378069,372767,377369,366914,359093,348756,355470,351159,370436,376045,373713,380502,385746,396327,385387,394678,385863,385150,385356,389553,401047,396369,412584,407612,415704,417858,410487,415742,418452,415758,418381,413035,412247,411491,419577,414093,406364,420924,445016,435902,442946,451354,447243,450629,448932,450901,459953,462662,462779,467689,484033,487168,485898,483277,486451,489826,483418,476708,490222,477858,481755,495654,477464,485175,481018,491948,504230,502371,506841,515224,504033,531554,518275,518178,504613,506960,512078,523467,531961,519087,549068,555524,553999,559751,542601,545954,545585,539614,555678,547592,554387,555340,551261,544847,558725,557330,517505,520485,545506,532273,544243,541918,543231,542636,551524,532145,555750,557491,524828,529375,410842,363585,528101,560645,585080,582178,583137,571880,571363,589997,606036,594154,717105,719574,660193,611789,580257,559916,557113,577407,575819,568249,593833,566940,574872,588725,562258,566895,560102,567285,565943,575058,561775,549122,603990,601687,598395,600429,589944,582135,582527,578902,584755,574235,569961,576972
5,            New motor vehicles (55),262245,265533,255174,258550,259561,246872,241023,247687,258630,265181,250171,243972,238530,237265,228650,220852,220600,211744,186863,217400,203862,168672,161737,167647,172110,161733,166849,155819,174272,179408,200033,264845,163497,174590,181730,184835,169622,162116,203522,195060,194056,192688,197094,199915,197405,212444,209764,217578,219545,214805,219682,215873,209199,199930,206142,205846,223548,233636,227192,232842,239638,247631,238082,246075,238696,237895,237781,236468,246821,245960,257084,250701,256211,254378,249617,255698,256693,253238,256195,250527,253276,249432,254529,254485,250977,254243,274774,264604,269540,276367,270974,271889,265455,264184,270211,270300,269152,270950,285741,282448,281188,280221,280892,285604,278159,270607,277353,266046,266819,268679,259244,267801,268958,272076,281209,275068,283022,282936,272861,281601,274419,281091,267711,268494,269343,274181,281225,272669,288383,299761,294714,296774,280559,282191,282094,281619,289570,285649,287407,293008,288608,287572,297999,297193,262472,268010,283538,274399,287281,287342,289626,290868,302140,282263,298464,306844,281882,282408,214198,200087,279470,280500,306506,314787,335160,328980,325828,345057,340122,336211,391548,407698,373846,342025,320756,286970,276004,293094,301623,301955,344556,330160,323828,332166,308904,315999,310884,313562,315950,326682,311364,299371,339890,336273,333148,340150,333779,332720,331423,321868,327914,315771,320570,325587
6,                New autos,104040,102819,101006,99157,105355,98711,93343,93909,100077,100326,101053,99223,102401,97661,96478,98989,107197,104006,90719,91012,82634,74263,65487,65484,65013,63638,66127,58900,67383,71400,88458,123996,70722,70187,71346,73779,66837,61957,73309,70881,68212,70308,72134,74934,74116,76070,74214,77681,79389,82065,87202,84459,79317,74443,73611,73861,78792,83527,82045,83199,92933,100480,95172,95297,91256,89155,90900,90409,95299,92971,96821,92910,97880,96950,91846,93229,91508,92622,92301,92320,92960,93084,93439,95027,87850,87272,93083,89538,91509,93972,92024,94175,90181,89725,90537,91562,84717,83239,89300,84018,84956,84991,82108,86397,81918,80862,80590,78508,75875,75656,73154,72469,75042,75852,78165,75619,77772,77001,75637,78097,71778,70117,69439,70441,69093,67339,70246,69425,71143,73827,72072,68695,65093,67051,65384,64891,67884,64539,63405,64417,60931,60271,61688,60226,59049,57004,59161,60873,57116,57268,52628,54571,56021,50985,54061,56577,48588,51493,38153,29436,41535,42975,50053,49784,51554,51032,50455,50192,50458,46454,54450,58595,56952,52364,51564,46413,43330,40824,44077,45487,50533,49845,47463,49014,44865,45671,42767,46188,47229,47441,47779,43799,46571,49261,48117,50832,48683,48891,47571,45301,49456,44823,45628,44762
7,                    New domestic autos,65477,64665,63022,61062,66817,62401,57174,58186,62449,62410,62913,61083,67291,61243,57688,59053,66237,63651,52836,56260,52614,45677,39398,40664,41031,38246,40411,35072,41859,45264,58671,87478,44560,43226,45041,47896,42181,39194,49374,47017,43247,44117,45970,47084,47205,48594,47537,50716,52473,54428,58335,55823,52003,48919,47897,48116,51824,56180,54655,56190,61492,65936,63583,62795,61229,59706,60365,61762,63502,61162,63091,60541,68516,66879,64056,64916,63256,63852,62818,62703,63907,63646,64023,64148,62313,61156,65923,63712,65473,67207,65840,68744,66331,65268,67624,66342,62905,61175,64785,61842,63169,63455,61393,64221,60488,60022,59732,58560,56562,56228,54122,53587,55102,55569,57259,55053,57714,57390,56103,58431,53287,52220,51460,52741,51869,50354,52374,51093,51476,54307,52662,49658,48283,49978,48742,48510,51283,49317,49020,50199,45390,45265,46367,45378,42742,41367,43682,45893,41864,40740,37567,40364,41356,36511,40188,42851,34767,37566,29265,22618,30045,31412,37961,38055,39059,38224,38116,37019,34293,31058,38077,41411,40182,36052,35828,31665,29775,30547,34025,34226,33777,34151,33271,33300,29345,31350,28930,32225,32525,31893,31498,28743,30321,33377,32792,34474,32891,33132,31507,29601,31681,30309,29554,29035
8,                    New foreign autos,38559,38151,37980,38091,38535,36306,36166,35719,37624,37913,38137,38136,35107,36415,38786,39932,40956,40351,37879,34748,30017,28583,26086,24817,23979,25389,25714,23825,25522,26133,29786,36518,26160,26959,26303,25881,24654,22761,23934,23862,24963,26189,26162,27847,26910,27473,26675,26964,26914,27635,28865,28634,27312,25523,25712,25743,26966,27345,27389,27007,31438,34542,31587,32500,30026,29448,30533,28646,31795,31807,33728,32367,29363,30069,27789,28312,28251,28769,29482,29616,29052,29436,29414,30878,25536,26115,27159,25826,26036,26765,26183,25431,23849,24457,22913,25219,21812,22063,24515,22176,21787,21536,20715,22176,21430,20840,20858,19949,19313,19428,19031,18882,19940,20283,20906,20565,20058,19611,19534,19667,18491,17897,17979,17700,17224,16986,17872,18332,19667,19520,19410,19037,16810,17073,16642,16382,16601,15222,14386,14218,15541,15006,15320,14848,16306,15637,15479,14980,15252,16527,15060,14207,14665,14474,13872,13726,13820,13927,8888,6818,11489,11562,12092,11730,12495,12808,12340,13174,16165,15397,16376,17187,16774,16316,15740,14751,13559,10281,10057,11266,16761,15700,14197,15720,15525,14326,13843,13969,14709,15553,16286,15061,16255,15890,15330,16364,15797,15765,16070,15705,17780,14519,16079,15732
